Date,Open,Low,High,Close,Adj close,Volume,% Change (24 hours),
2019-01-13,3664.38,3528.24,3675.2,3551.24,3551.24,1.64125e+08,-3.08756,
2019-01-12,3669.2,3611.2,3692.12,3664.38,3664.38,1.03913e+08,-0.131366,
2019-01-11,3668.15,3616.41,3729.69,3669.2,3669.2,2.31465e+08,0.0286261,
2019-01-10,4048.34,3631.07,4085.09,3668.15,3668.15,4.12522e+08,-9.39126,
2019-01-09,4040.75,4013,4092.91,4048.34,4048.34,2.23639e+08,0.187839,
2019-01-08,4050.4,3990.34,4156.16,4040.75,4040.75,2.68091e+08,-0.238246,
2019-01-07,4102.85,4001.35,4132.62,4050.4,4050.4,2.09289e+08,-1.27838,
2019-01-06,3855.39,3829.09,4145.16,4102.85,4102.85,2.36298e+08,6.41855,
2019-01-05,3874.06,3841.13,3926.92,3855.39,3855.39,1.39439e+08,-0.481928,
2019-01-04,3835.86,3783.88,3901.65,3874.06,3874.06,1.70508e+08,0.995864,
2019-01-03,3961.01,3778.76,3965.52,3835.86,3835.86,1.76488e+08,-3.15955,
2019-01-02,3880.15,3826.29,3989.59,3961.01,3961.01,2.10855e+08,2.08394,
2019-01-01,3747.39,3696.94,3938.75,3880.15,3880.15,1.70598e+08,3.54273,
2018-12-31,3896.21,3701.48,3904.28,3747.39,3747.39,2.0619e+08,-3.81961,
2018-12-30,3797.06,3760.8,3925.18,3896.21,3896.21,1.91958e+08,2.61123,
2018-12-29,3947.86,3774.38,4004.14,3797.06,3797.06,2.14891e+08,-3.81979,
2018-12-28,3646.09,3628.43,4007.71,3947.86,3947.86,3.53705e+08,8.27654,
2018-12-27,3848.78,3622.39,3888.92,3646.09,3646.09,3.05729e+08,-5.26634,
2018-12-26,3834.73,3746.86,3923.93,3848.78,3848.78,2.6344e+08,0.36639,
2018-12-25,4081.95,3734.85,4094.61,3834.73,3834.73,3.67201e+08,-6.05642,
2018-12-24,4007.63,4006.6,4303.37,4081.95,4081.95,4.5929e+08,1.85446,
2018-12-23,4045.24,3972.39,4117.65,4007.63,4007.63,2.35998e+08,-0.929737,
2018-12-22,3898.81,3849.23,4060.34,4045.24,4045.24,2.50086e+08,3.75576,
2018-12-21,4137.66,3831.2,4247.71,3898.81,3898.81,5.16657e+08,-5.77259,
2018-12-20,3736.54,3712.82,4225.52,4137.66,4137.66,7.24855e+08,10.7351,
2018-12-19,3715.85,3693.57,3969.7,3736.54,3736.54,6.20695e+08,0.556802,
2018-12-18,3548.19,3481.46,3727.99,3715.85,3715.85,3.27808e+08,4.72523,
2018-12-17,3255.37,3239.06,3639.65,3548.19,3548.19,4.12455e+08,8.99498,
2018-12-16,3232.51,3227.4,3319.83,3255.37,3255.37,1.48183e+08,0.707194,
2018-12-15,3235.48,3169.53,3271.76,3232.51,3232.51,1.65379e+08,-0.0917938,
2018-12-14,3305.11,3180.97,3333.24,3235.48,3235.48,2.90985e+08,-2.10674,
2018-12-13,3485.59,3272.81,3493.76,3305.11,3305.11,2.86237e+08,-5.17789,
2018-12-12,3401.02,3380.48,3545.37,3485.59,3485.59,2.57294e+08,2.48661,
2018-12-11,3467.16,3348.98,3483.58,3401.02,3401.02,2.30672e+08,-1.90761,
2018-12-10,3592.84,3416.77,3645.49,3467.16,3467.16,2.8712e+08,-3.49807,
2018-12-09,3461.07,3436.5,3718.58,3592.84,3592.84,2.95321e+08,3.8072,
2018-12-08,3420.57,3295.21,3602.49,3461.07,3461.07,3.57549e+08,1.18401,
2018-12-07,3485.18,3248,3576.11,3420.57,3420.57,6.99931e+08,-1.85385,
2018-12-06,3737.53,3467.92,3883.43,3485.18,3485.18,5.90924e+08,-6.75179,
2018-12-05,3948.44,3719.19,3961.8,3737.53,3737.53,3.20944e+08,-5.3416,
2018-12-04,3871.41,3770.92,4082.68,3948.44,3948.44,3.73361e+08,1.98972,
2018-12-03,4143.86,3795.18,4159.01,3871.41,3871.41,4.23985e+08,-6.57479,
2018-12-02,4197.7,4077.67,4318.79,4143.86,4143.86,2.62155e+08,-1.27697,
2018-12-01,4009.67,3942.62,4309.65,4197.46,4197.46,2.80928e+08,4.68343,
2018-11-30,4286.85,3916.3,4331.07,4009.67,4009.67,4.97763e+08,-6.46233,
2018-11-29,4263.52,4130.68,4444.39,4286.69,4286.69,4.79575e+08,0.542743,
2018-11-28,3822.99,3822.94,4398.57,4263.55,4263.55,7.26809e+08,11.524,
2018-11-27,3784.77,3613.11,3878.9,3822.99,3822.99,5.55212e+08,1.01464,
2018-11-26,4004.46,3598.81,4124.7,3784.59,3784.59,7.15342e+08,-5.48331,
2018-11-25,3854.11,3550.04,4165.93,4004.15,4004.15,8.19869e+08,3.89298,
2018-11-24,4343.42,3741.2,4432,3854.11,3854.11,5.03028e+08,-11.2655,
2018-11-23,4320.68,4157.19,4419.48,4343.42,4343.42,5.21826e+08,0.5263,
2018-11-22,4593.04,4297.21,4640.72,4320.68,4320.68,3.76853e+08,-5.92984,
2018-11-21,4441.81,4315.58,4689.55,4593.04,4593.04,6.86285e+08,3.40469,
2018-11-20,4809.62,4168.25,4953.56,4441.81,4441.81,1.4334e+09,-7.64738,
2018-11-19,5615.26,4757.01,5615.98,4809.62,4809.62,1.07204e+09,-14.3473,
2018-11-18,5567.95,5567.95,5701.35,5615.26,5615.26,2.33409e+08,0.831753,
2018-11-17,5586.97,5524.7,5602.01,5568.94,5568.94,1.64182e+08,-0.310226,
2018-11-16,5647.5,5487.87,5676.54,5586.27,5586.27,3.97196e+08,-1.0842,
2018-11-15,5740.51,5300.75,5767.06,5647.5,5647.5,8.20864e+08,-1.63669,
2018-11-14,6339.17,5469.93,6375.7,5741.47,5741.47,1.04547e+09,-9.42867,
2018-11-13,6375.08,6315.58,6389.43,6339.17,6339.17,2.2769e+08,-0.563289,
2018-11-12,6408.18,6350.87,6435.41,6375.08,6375.08,1.81576e+08,-0.516529,
2018-11-11,6396.39,6326.38,6414.18,6408.18,6408.18,1.30156e+08,0.184637,
2018-11-10,6377.99,6376.17,6419.92,6396.37,6396.37,9.43133e+07,0.288177,
2018-11-09,6446.06,6352.45,6457.97,6377.99,6377.99,2.37893e+08,-1.05599,
2018-11-08,6530.94,6438.27,6542.42,6446.06,6446.06,2.73205e+08,-1.28062,
2018-11-07,6479.72,6476.59,6562.79,6529.68,6529.68,3.60053e+08,0.77102,
2018-11-06,6433.53,6412.56,6482.81,6479.72,6479.72,2.39808e+08,0.71467,
2018-11-05,6467.05,6406.69,6475.8,6433.74,6433.74,1.55759e+08,-0.515066,
2018-11-04,6376.55,6351.92,6498.16,6467.05,6467.05,1.75805e+08,1.42292,
2018-11-03,6394.65,6336.96,6398.09,6376.32,6376.32,1.83565e+08,-0.286807,
2018-11-02,6381.3,6371.57,6420.93,6394.66,6394.66,1.79386e+08,0.209367,
2018-11-01,6342.81,6322.6,6402.59,6381.3,6381.3,1.99861e+08,0.61,
2018-10-31,6309.11,6241.49,6391.25,6342.61,6342.61,2.45357e+08,0.530978,
2018-10-30,6314.38,6286.3,6340.68,6309.11,6309.11,2.69592e+08,-0.0760273,
2018-10-29,6470.74,6282.58,6483.39,6313.91,6313.91,3.42464e+08,-2.42368,
2018-10-27,6470.17,6444.74,6483.24,6470.74,6470.74,1.09118e+08,0.00881448,
2018-10-26,6457.21,6445.95,6479,6470.17,6470.17,1.24066e+08,0.200705,
2018-10-25,6462.77,6441.81,6514,6457.21,6457.21,2.15448e+08,-0.0860321,
2018-10-24,6476.52,6432.3,6497.9,6462.77,6462.77,2.31215e+08,-0.208145,
2018-10-23,6470.63,6465.73,6538.35,6476.25,6476.25,2.22068e+08,0.0931929,
2018-10-22,6484.32,6438.99,6496.2,6470.22,6470.22,2.20913e+08,-0.200668,
2018-10-21,6509.87,6460.38,6531.23,6483.23,6483.23,2.02767e+08,-0.409227,
